team,total_win_pct,home_win_pct,away_win_pct,home_away_index,total_wins,total_losses,total_ties,total_games,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties
NE,0.6794117647058824,0.7294117647058823,0.6294117647058823,1.158878504672897,231,109,0,340,124,46,0,107,63,0
PIT,0.6411764705882353,0.7088235294117647,0.5735294117647058,1.235897435897436,217,121,2,340,120,49,1,97,72,1
GB,0.6147058823529412,0.7058823529411765,0.5235294117647059,1.348314606741573,208,130,2,340,119,49,2,89,81,0
BAL,0.6029411764705882,0.7176470588235294,0.48823529411764705,1.4698795180722892,205,135,0,340,122,48,0,83,87,0
IND,0.5897058823529412,0.6529411764705882,0.5264705882352941,1.2402234636871508,200,139,1,340,111,59,0,89,80,1
KC,0.5823529411764706,0.6235294117647059,0.5411764705882353,1.1521739130434783,198,142,0,340,106,64,0,92,78,0
SEA,0.5808823529411765,0.6529411764705882,0.5088235294117647,1.2832369942196533,197,142,1,340,111,59,0,86,83,1
PHI,0.5794117647058824,0.6088235294117647,0.55,1.1069518716577538,196,142,2,340,103,66,1,93,76,1
LA,0.5675675675675675,0.5675675675675675,0.5675675675675675,1.0,84,64,0,148,42,32,0,42,32,0
SD,0.5673076923076923,0.6442307692307693,0.49038461538461536,1.3137254901960786,118,90,0,208,67,37,0,51,53,0
DAL,0.5647058823529412,0.5941176470588235,0.5352941176470588,1.10989010989011,192,148,0,340,101,69,0,91,79,0
NO,0.5617647058823529,0.5823529411764706,0.5411764705882353,1.0760869565217392,191,149,0,340,99,71,0,92,78,0
MIN,0.5411764705882353,0.6470588235294118,0.43529411764705883,1.4864864864864866,183,155,2,340,110,60,0,73,95,2
DEN,0.5264705882352941,0.6058823529411764,0.4470588235294118,1.3552631578947367,179,161,0,340,103,67,0,76,94,0
LAC,0.5151515151515151,0.5,0.5303030303030303,0.942857142857143,68,64,0,132,33,33,0,35,31,0
BUF,0.5103244837758112,0.5941176470588235,0.4260355029585799,1.3945261437908496,173,166,0,339,101,69,0,72,97,0
ATL,0.5058823529411764,0.5647058823529412,0.4470588235294118,1.263157894736842,172,168,0,340,96,74,0,76,94,0
CIN,0.504424778761062,0.5710059171597633,0.43823529411764706,1.3029665223779834,169,166,4,339,95,71,3,74,95,1
SF,0.47205882352941175,0.5264705882352941,0.4176470588235294,1.2605633802816902,160,179,1,340,89,80,1,71,99,0
CHI,0.46176470588235297,0.5117647058823529,0.4117647058823529,1.2428571428571429,157,183,0,340,87,83,0,70,100,0
TEN,0.4588235294117647,0.5,0.4176470588235294,1.1971830985915493,156,184,0,340,85,85,0,71,99,0
CAR,0.4573529411764706,0.5,0.4147058823529412,1.2056737588652482,155,184,1,340,85,85,0,70,99,1
MIA,0.45588235294117646,0.5352941176470588,0.3764705882352941,1.421875,155,185,0,340,91,79,0,64,106,0
ARI,0.45294117647058824,0.5235294117647059,0.38235294117647056,1.3692307692307695,153,185,2,340,88,80,2,65,105,0
HOU,0.4514705882352941,0.5147058823529411,0.38823529411764707,1.3257575757575757,153,186,1,340,87,82,1,66,104,0
NYG,0.4514705882352941,0.47941176470588237,0.4235294117647059,1.1319444444444444,153,186,1,340,81,88,1,72,98,0
TB,0.4441176470588235,0.4823529411764706,0.40588235294117647,1.1884057971014492,151,189,0,340,82,88,0,69,101,0
LV,0.42857142857142855,0.4523809523809524,0.40476190476190477,1.1176470588235294,36,48,0,84,19,23,0,17,25,0
WAS,0.42058823529411765,0.4411764705882353,0.4,1.102941176470588,142,196,2,340,75,95,0,67,101,2
DET,0.4117647058823529,0.4588235294117647,0.36470588235294116,1.2580645161290323,139,199,2,340,78,92,0,61,107,2
NYJ,0.4088235294117647,0.4764705882352941,0.3411764705882353,1.3965517241379308,139,201,0,340,81,89,0,58,112,0
JAX,0.37941176470588234,0.45294117647058824,0.3058823529411765,1.4807692307692306,129,211,0,340,77,93,0,52,118,0
OAK,0.34375,0.3984375,0.2890625,1.3783783783783783,88,168,0,256,51,77,0,37,91,0
CLE,0.3397058823529412,0.4441176470588235,0.23529411764705882,1.8875,115,224,1,340,75,94,1,40,130,0
STL,0.3359375,0.3958333333333333,0.2760416666666667,1.4339622641509433,64,127,1,192,38,58,0,26,69,1
